,SatName,Time,longitude,latitude,altitude,px,py,pz,TimeString
484,SUOMI100,2022-01-06 03:40:20,104.97014181697948,36.891231017171286,585.2133232174101,-0.014806738636916518,-0.04117213765089262,-0.05625209341196246,2022-01-06 03:40:20
485,SUOMI100,2022-01-06 03:40:25,104.88546826817566,36.58291631243893,585.1847029256803,-0.01478359397506656,-0.04086210604946087,-0.056483345880018986,2022-01-06 03:40:25
486,SUOMI100,2022-01-06 03:40:30,104.80129970208507,36.27455339402995,585.1567496949209,-0.014760012031300642,-0.04055086585369561,-0.05671292301005373,2022-01-06 03:40:30
487,SUOMI100,2022-01-06 03:40:35,104.7176265980472,35.96614299686313,585.1294727111057,-0.014735993509383708,-0.040238426348948114,-0.056940817936494956,2022-01-06 03:40:35
488,SUOMI100,2022-01-06 03:40:40,104.6344396387351,35.657685845344965,585.102881113442,-0.014711539126449348,-0.039924796858549466,-0.05716702384378908,2022-01-06 03:40:40
489,SUOMI100,2022-01-06 03:40:45,104.55172970055692,35.34918265085271,585.076983992815,-0.014686649612752175,-0.0396099867405817,-0.0573915339687553,2022-01-06 03:40:45
490,SUOMI100,2022-01-06 03:40:50,104.46948785358312,35.040634116236404,585.0517903908693,-0.01466132571197613,-0.039294005391798614,-0.05761434159778335,2022-01-06 03:40:50
491,SUOMI100,2022-01-06 03:40:55,104.38770535238936,34.73204093369041,585.0273092985254,-0.014635568181020705,-0.0389768622448218,-0.057835440068892,2022-01-06 03:40:55
492,SUOMI100,2022-01-06 03:41:00,104.306373629499,34.423403784266405,585.0035496546138,-0.014609377789907842,-0.03865856676698896,-0.05805482277253188,2022-01-06 03:41:00
493,SUOMI100,2022-01-06 03:41:05,104.22548429589229,34.11472334068566,584.9805203448348,-0.014582755321967894,-0.03833912846261574,-0.05827248315003264,2022-01-06 03:41:05
494,SUOMI100,2022-01-06 03:41:10,104.14502913035257,33.806000265588274,584.9582302003184,-0.014555701573645238,-0.03801855687057382,-0.05848841469530447,2022-01-06 03:41:10
495,SUOMI100,2022-01-06 03:41:15,104.0650000804538,33.497235213082526,584.936687996458,-0.01452821735458215,-0.03769686156527918,-0.05870261095417953,2022-01-06 03:41:15
496,SUOMI100,2022-01-06 03:41:20,103.98538925227163,33.188428829456164,584.9159024516798,-0.014500303487637265,-0.03737405215683846,-0.05891506552436178,2022-01-06 03:41:20
497,SUOMI100,2022-01-06 03:41:25,103.9061889101064,32.87958175097961,584.8958822260263,-0.01447196080864013,-0.03705013828815673,-0.05912577205735788,2022-01-06 03:41:25
498,SUOMI100,2022-01-06 03:41:30,103.82739147104085,32.570694606667516,584.876635920098,-0.014443190166588566,-0.036725129637229875,-0.05933472425697489,2022-01-06 03:41:30
499,SUOMI100,2022-01-06 03:41:35,103.74898949940622,32.26176801771922,584.8581720737303,-0.014413992423553334,-0.036399035915983424,-0.05954191588011317,2022-01-06 03:41:35
500,SUOMI100,2022-01-06 03:41:40,103.67097570593518,31.952802599021293,584.8404991648582,-0.014384368454773774,-0.03607186687129045,-0.059747340736158436,2022-01-06 03:41:40
501,SUOMI100,2022-01-06 03:41:45,103.59334293978587,31.643798955255008,584.8236256080305,-0.014354319148236289,-0.035743632280281545,-0.05995099268994957,2022-01-06 03:41:45
502,SUOMI100,2022-01-06 03:41:50,103.51608418919264,31.334757686939327,584.8075597535541,-0.014323845405205312,-0.03541434195618318,-0.06015286565813334,2022-01-06 03:41:50
503,SUOMI100,2022-01-06 03:41:55,103.4391925739117,31.0256793852785,584.7923098859466,-0.01429294813967626,-0.03508400574229362,-0.060352953612930346,2022-01-06 03:41:55
504,SUOMI100,2022-01-06 03:42:00,103.36266134418777,30.716564636947346,584.7778842230024,-0.01426162827879674,-0.034752633516530095,-0.06055125057935893,2022-01-06 03:42:00
505,SUOMI100,2022-01-06 03:42:05,103.28648387588527,30.407414020995034,584.7642909144082,-0.014229886762512217,-0.03442023518758367,-0.060747750637599636,2022-01-06 03:42:05
506,SUOMI100,2022-01-06 03:42:10,103.21065366809725,30.098228111958484,584.7515380406891,-0.01419772454383452,-0.03408682069772277,-0.06094244792134461,2022-01-06 03:42:10
507,SUOMI100,2022-01-06 03:42:15,103.13516434194719,29.789007475092202,584.7396336118089,-0.014165142588297921,-0.033752400017119676,-0.061135336621137654,2022-01-06 03:42:15
508,SUOMI100,2022-01-06 03:42:20,103.06000963071027,29.479752673200508,584.728585566286,-0.01413214187462117,-0.033416983150691644,-0.061326410980397594,2022-01-06 03:42:20
509,SUOMI100,2022-01-06 03:42:25,102.98518338485411,29.17046426309771,584.718401769844,-0.014098723394296124,-0.03308058013377362,-0.061515665297987784,2022-01-06 03:42:25
510,SUOMI100,2022-01-06 03:42:30,102.91067956330532,28.861142793719612,584.7090900141862,-0.014064888151327622,-0.03274320102953072,-0.06170309392965141,2022-01-06 03:42:30
511,SUOMI100,2022-01-06 03:42:35,102.83649223304005,28.55178881086464,584.7006580160177,-0.014030637162695767,-0.032404855933599916,-0.061888691285409116,2022-01-06 03:42:35
512,SUOMI100,2022-01-06 03:42:40,102.76261556683266,28.242402855709077,584.6931134158191,-0.013995971458152697,-0.032065554971982005,-0.06207245183079412,2022-01-06 03:42:40
513,SUOMI100,2022-01-06 03:42:45,102.6890438388672,27.932985462485288,584.686463776653,-0.013960892079911599,-0.03172530829798613,-0.06225437008851254,2022-01-06 03:42:45
514,SUOMI100,2022-01-06 03:42:50,102.61577142322956,27.62353716279261,584.6807165831441,-0.01392540008308005,-0.03138412609645875,-0.06243444063616868,2022-01-06 03:42:50
515,SUOMI100,2022-01-06 03:42:55,102.54279279133293,27.314058483265487,584.6758792402695,-0.013889496535352914,-0.031042018580736106,-0.06261265810794102,2022-01-06 03:42:55
516,SUOMI100,2022-01-06 03:43:00,102.47010250755473,27.004549944479724,584.6719590722727,-0.01385318251682991,-0.030698995990932215,-0.06278901719546114,2022-01-06 03:43:00
517,SUOMI100,2022-01-06 03:43:05,102.39769523022149,26.69501206400434,584.6689633215759,-0.013816459120319568,-0.03035506859682203,-0.06296351264631858,2022-01-06 03:43:05
518,SUOMI100,2022-01-06 03:43:10,102.32556570605016,26.385445357374476,584.666899147681,-0.01377932745141446,-0.030010246698459187,-0.06313613926381925,2022-01-06 03:43:10
519,SUOMI100,2022-01-06 03:43:15,102.25370877064479,26.075850332417307,584.6657736260647,-0.013741788627763181,-0.029664540619379308,-0.06330689191041618,2022-01-06 03:43:15
520,SUOMI100,2022-01-06 03:43:20,102.18211934251156,25.766227494365612,584.6655937471085,-0.01370384377962599,-0.02931796071180155,-0.06347576550507204,2022-01-06 03:43:20
521,SUOMI100,2022-01-06 03:43:25,102.11079242435504,25.456577346817724,584.6663664150526,-0.01366549404995158,-0.028970517357249582,-0.06364275502302692,2022-01-06 03:43:25
522,SUOMI100,2022-01-06 03:43:30,102.03972310098594,25.14690038687894,584.6680984469047,-0.01362674059372956,-0.028622220960636418,-0.06380785549867725,2022-01-06 03:43:30
523,SUOMI100,2022-01-06 03:43:35,101.96890653454439,24.83719710901863,584.6707965714286,-0.013587584578411098,-0.028273081954110674,-0.06397106202370047,2022-01-06 03:43:35
524,SUOMI100,2022-01-06 03:43:40,101.89833796519692,24.527468006432883,584.6744674280691,-0.01354802718403832,-0.02792311079814358,-0.06413236974660477,2022-01-06 03:43:40
525,SUOMI100,2022-01-06 03:43:45,101.82801270616986,24.21771356534235,584.6791175659721,-0.01350806960246774,-0.027572317974627742,-0.06429177387593556,2022-01-06 03:43:45
526,SUOMI100,2022-01-06 03:43:50,101.75792614596897,23.90793427257712,584.684753442903,-0.013467713038288405,-0.027220713994988023,-0.06444926967654717,2022-01-06 03:43:50
527,SUOMI100,2022-01-06 03:43:55,101.68807374261654,23.598130609451363,584.6913814242927,-0.013426958707985003,-0.02686830939279591,-0.06460485247299229,2022-01-06 03:43:55
528,SUOMI100,2022-01-06 03:44:00,101.61845102369783,23.28830305560368,584.6990077822228,-0.01338580784038289,-0.026515114727666125,-0.06475851764776291,2022-01-06 03:44:00
529,SUOMI100,2022-01-06 03:44:05,101.54905358511034,22.978452087018013,584.7076386944373,-0.013344261676338391,-0.02616114058255612,-0.06491026064249955,2022-01-06 03:44:05
530,SUOMI100,2022-01-06 03:44:10,101.47987708842955,22.668578178196213,584.7172802433458,-0.013302321468977016,-0.025806397565795836,-0.06506007695712446,2022-01-06 03:44:10
531,SUOMI100,2022-01-06 03:44:15,101.4109172596848,22.35868179975701,584.7279384151104,-0.01325998848332034,-0.02545089630789731,-0.06520796215121757,2022-01-06 03:44:15
532,SUOMI100,2022-01-06 03:44:20,101.34216988571751,22.048763418939682,584.7396190987065,-0.01321726399629592,-0.025094647461673992,-0.06535391184393627,2022-01-06 03:44:20
533,SUOMI100,2022-01-06 03:44:25,101.27363081788631,21.738823504261862,584.7523280847879,-0.013174149297330563,-0.02473766170715814,-0.06549792171202992,2022-01-06 03:44:25
534,SUOMI100,2022-01-06 03:44:30,101.20529596423488,21.428862517290273,584.7660710650777,-0.013130645687161794,-0.024379949741695366,-0.06563998749388991,2022-01-06 03:44:30
535,SUOMI100,2022-01-06 03:44:35,101.13716129032491,21.118880919786296,584.7808536311952,-0.01308675447877258,-0.024021522287724285,-0.0657801049863805,2022-01-06 03:44:35
536,SUOMI100,2022-01-06 03:44:40,101.06922282064906,20.808879170873993,584.7966812738339,-0.013042476996948351,-0.023662390089082812,-0.0659182700463492,2022-01-06 03:44:40
537,SUOMI100,2022-01-06 03:44:45,101.00147663238226,20.498857728362122,584.8135593818216,-0.012997814578412398,-0.023302563912103863,-0.06605447859021171,2022-01-06 03:44:45
538,SUOMI100,2022-01-06 03:44:50,100.93391885860315,20.188817046322075,584.8314932413523,-0.012952768571425162,-0.022942054542371276,-0.06618872659519019,2022-01-06 03:44:50
539,SUOMI100,2022-01-06 03:44:55,100.866545683614,19.878757578067635,584.850488034974,-0.012907340336158667,-0.022580872787744313,-0.06632101009816582,2022-01-06 03:44:55
540,SUOMI100,2022-01-06 03:45:00,100.79935334176866,19.56867977455965,584.8705488408137,-0.012861531244414179,-0.022219029476077075,-0.06645132519654727,2022-01-06 03:45:00
541,SUOMI100,2022-01-06 03:45:05,100.73233811860626,19.258584084054778,584.8916806317608,-0.012815342679513713,-0.021856535454374253,-0.06657966804856157,2022-01-06 03:45:05
542,SUOMI100,2022-01-06 03:45:10,100.66549634679629,18.948470955911585,584.9138882743686,-0.012768776036814661,-0.0214934015928163,-0.06670603487184504,2022-01-06 03:45:10
543,SUOMI100,2022-01-06 03:45:15,100.59882440705323,18.63834083274921,584.9371765286131,-0.012721832722482061,-0.02112963877515723,-0.06683042194680895,2022-01-06 03:45:15
544,SUOMI100,2022-01-06 03:45:20,100.53231872464553,18.328194160487225,584.9615500463258,-0.012674514154941583,-0.02076525791005708,-0.06695282561269872,2022-01-06 03:45:20
545,SUOMI100,2022-01-06 03:45:25,100.4659757721575,18.018031381332257,584.9870133709355,-0.012626821763772788,-0.0204002699224472,-0.06707324227060017,2022-01-06 03:45:25
546,SUOMI100,2022-01-06 03:45:30,100.39979206291031,17.707852933831795,585.0135709367007,-0.012578756989650212,-0.020034685753152245,-0.06719166838349457,2022-01-06 03:45:30
547,SUOMI100,2022-01-06 03:45:35,100.33376415371222,17.397659259582227,585.041227067383,-0.012530321285327403,-0.019668516366375954,-0.06730810047383452,2022-01-06 03:45:35
548,SUOMI100,2022-01-06 03:45:40,100.26788864383802,17.08745079537653,585.0699859761461,-0.012481516114368905,-0.019301772740033123,-0.06742253512669831,2022-01-06 03:45:40
549,SUOMI100,2022-01-06 03:45:45,100.20216216942323,16.77722797658043,585.0998517645405,-0.01243234295161253,-0.018934465869302402,-0.06753496898860224,2022-01-06 03:45:45
550,SUOMI100,2022-01-06 03:45:50,100.13658141025927,16.466991239676,585.1308284215223,-0.012382803283521078,-0.018566606769228524,-0.0676453987667324,2022-01-06 03:45:50
551,SUOMI100,2022-01-06 03:45:55,100.07114308087871,16.156741016898803,585.1629198232504,-0.012332898607275685,-0.018198206467955516,-0.06775382123100815,2022-01-06 03:45:55
552,SUOMI100,2022-01-06 03:46:00,100.00584393299145,15.846477740025756,585.1961297320455,-0.012282630431318418,-0.017829276010795432,-0.06786023321282342,2022-01-06 03:46:00
553,SUOMI100,2022-01-06 03:46:05,99.94068075704004,15.536201840833538,585.2304617956099,-0.012232000275376088,-0.017459826460368436,-0.06796463160504027,2022-01-06 03:46:05
554,SUOMI100,2022-01-06 03:46:10,99.87565037520062,15.225913749891296,585.2659195465052,-0.0121810096702116,-0.017089868894760586,-0.0680670133625404,2022-01-06 03:46:10
555,SUOMI100,2022-01-06 03:46:15,99.8107496466176,14.915613893270603,585.3025064018374,-0.0121296601570211,-0.016719414403181917,-0.06816737550339169,2022-01-06 03:46:15
556,SUOMI100,2022-01-06 03:46:20,99.74597546138942,14.605302700905654,585.3402256616921,-0.01207795328875539,-0.01634847409553127,-0.06826571510622732,2022-01-06 03:46:20
557,SUOMI100,2022-01-06 03:46:25,99.68132474346208,14.294980598306887,585.3790805094405,-0.012025890628696547,-0.01597705909210089,-0.0683620293130608,2022-01-06 03:46:25
558,SUOMI100,2022-01-06 03:46:30,99.61679444680199,13.984648009509028,585.4190740107907,-0.011973473750880917,-0.01560518052667847,-0.06845631532839508,2022-01-06 03:46:30
559,SUOMI100,2022-01-06 03:46:35,99.55238155622308,13.67430536043368,585.4602091127451,-0.011920704240612595,-0.015232849550174007,-0.068548570418321,2022-01-06 03:46:35
560,SUOMI100,2022-01-06 03:46:40,99.4880830867006,13.363953074344204,585.5024886436087,-0.01186758369364162,-0.014860077324771345,-0.06863879191201719,2022-01-06 03:46:40
561,SUOMI100,2022-01-06 03:46:45,99.42389608132353,13.053591572292707,585.5459153123381,-0.011814113716173325,-0.014486875024048954,-0.06872697720166486,2022-01-06 03:46:45
562,SUOMI100,2022-01-06 03:46:50,99.35981761169307,12.743221276063093,585.5904917076095,-0.011760295925314926,-0.014113253836112047,-0.06881312374169161,2022-01-06 03:46:50
563,SUOMI100,2022-01-06 03:46:55,99.29584477619986,12.432842607784249,585.6362202972987,-0.011706131948958339,-0.013739224962733245,-0.06889722904901845,2022-01-06 03:46:55
564,SUOMI100,2022-01-06 03:47:00,99.23197469762648,12.122455984546164,585.6831034287277,-0.011651623424779626,-0.01336479961245913,-0.06897929070459304,2022-01-06 03:47:00
565,SUOMI100,2022-01-06 03:47:05,99.16820452714127,11.812061825918907,585.7311433270727,-0.01159677200148948,-0.012989989009266529,-0.0690593063514219,2022-01-06 03:47:05
566,SUOMI100,2022-01-06 03:47:10,99.10453143846233,11.501660550648088,585.7803420953051,-0.011541579338202806,-0.012614804388185052,-0.06913727369557991,2022-01-06 03:47:10
